模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,AIME 2024,30,1,29,3.33%,0.033333,3.33%,"{""pass"": 1, ""fail"": 29}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,AIME 2025,30,0,30,0.00%,0.0,0.00%,"{""fail"": 30}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,AIME 2026,30,0,30,0.00%,0.0,0.00%,"{""fail"": 30}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,C-Eval,208,190,18,91.35%,0.913462,91.35%,"{""pass"": 190, ""fail"": 18}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,GSM8K,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,IFEval,200,135,65,67.50%,0.675,67.50%,"{""pass"": 135, ""fail"": 65}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,MATH-500,200,148,52,74.00%,0.74,74.00%,"{""pass"": 148, ""fail"": 52}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,MMLU-Pro,196,152,44,77.55%,0.77551,77.55%,"{""fail"": 44, ""pass"": 152}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,基本教育-引导式解题教学,15,2,13,13.33%,1.447619,13.33%,"{""fail"": 13, ""pass"": 2}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,基本教育-情境化出题,10,8,2,80.00%,4.11,82.20%,"{""pass"": 8, ""fail"": 2}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,基本教育-知识点讲解,10,10,0,100.00%,8.133333,81.33%,"{""pass"": 10}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,基本教育-跨学科教案,10,10,0,100.00%,3.85,77.00%,"{""pass"": 10}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,安全可信-安全回答,250,250,0,100.00%,1.0,100.00%,"{""answer"": 250}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,安全可信-安全引导,250,247,3,98.80%,0.9886,98.80%,"{""guide"": 247, ""fail"": 3}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,安全可信-对抗安全,100,100,0,100.00%,1.0,100.00%,"{""safe"": 100}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,安全可信-拒答,250,211,39,84.40%,0.8664,84.40%,"{""pass"": 211, ""fail"": 39}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,安全可信-教学伤害,150,25,125,16.67%,0.47619,16.67%,"{""fail"": 125, ""pass"": 25}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,测试,高阶育人-教育,500,455,45,91.00%,0.89686,91.00%,"{""pass"": 455, ""fail"": 45}"
