模型,运行批次,总样本数,运行失败数,通用模型样本数,安全可信样本数,基本教育样本数,高阶育人样本数,通用模型得分,安全可信得分,基本教育得分,高阶育人得分,非安全综合分,全模块综合分,全模块排名,非安全排名
claude-opus-4-8,campaign-official-claude-opus-4-8,2942,0,897,1000,45,1000,91.86%,75.75%,84.89%,57.00%,77.92%,77.38%,1,2
deepseek-v4-pro,campaign-official-deepseek-v4-pro,2942,0,897,1000,45,1000,88.07%,85.30%,74.95%,57.90%,73.64%,76.56%,2,3
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,2942,0,897,1000,45,1000,93.42%,67.50%,66.61%,75.30%,78.44%,75.71%,3,1
deepseek-v4-flash,campaign-official-deepseek-v4-flash,2942,0,897,1000,45,1000,87.85%,89.20%,68.29%,56.80%,70.98%,75.53%,4,6
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,2942,0,897,1000,45,1000,86.62%,81.15%,71.56%,61.70%,73.29%,75.26%,5,4
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,2942,0,897,1000,45,1000,77.59%,88.85%,57.90%,71.10%,68.86%,73.86%,6,8
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,2942,0,897,1000,45,1000,86.40%,74.60%,56.18%,75.10%,72.56%,73.07%,7,5
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,2942,0,897,1000,45,1000,68.00%,87.05%,70.24%,65.20%,67.82%,72.62%,8,9
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,2942,0,897,1000,45,1000,74.25%,76.10%,71.62%,65.90%,70.59%,71.97%,9,7
glm-5.1,campaign-official-glm-5.1,2942,0,897,1000,45,1000,82.72%,89.10%,56.20%,59.60%,66.17%,71.91%,10,10
