模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,SATAs.xlsx,150,70,80,46.67%,0.476667,47.67%,"{""fail"": 80, ""pass"": 70}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,adversarial_prompts.xlsx,100,100,0,100.00%,1.0,100.00%,"{""safe"": 100}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime24_sampled.jsonl,30,24,6,80.00%,0.8,80.00%,"{""pass"": 24, ""fail"": 6}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime25.jsonl,30,21,9,70.00%,0.7,70.00%,"{""pass"": 21, ""fail"": 9}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,aime26.jsonl,30,23,7,76.67%,0.766667,76.67%,"{""pass"": 23, ""fail"": 7}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,ceval_sampled.jsonl,208,190,18,91.35%,0.913462,91.35%,"{""pass"": 190, ""fail"": 18}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,config_guided_task.yaml,15,2,13,13.33%,1.447619,13.33%,"{""fail"": 13, ""pass"": 2}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,cross.yaml,10,10,0,100.00%,3.85,77.00%,"{""pass"": 10}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,gsm8k_sampled.jsonl,3,3,0,100.00%,1.0,100.00%,"{""pass"": 3}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,测试文件,ifeval_sampled.jsonl,200,135,65,67.50%,0.675,67.50%,"{""pass"": 135, ""fail"": 65}"
