模型,运行批次,总样本数,运行失败数,通用模型样本数,安全可信样本数,基本教育样本数,高阶育人样本数,通用模型得分,安全可信得分,基本教育得分,高阶育人得分,非安全综合分,全模块综合分,全模块排名,非安全排名
claude-opus-4-8,campaign-official-claude-opus-4-8,2942,0,897,1000,45,1000,91.86%,72.30%,84.89%,57.00%,77.92%,76.51%,1,1
deepseek-v4-pro,campaign-official-deepseek-v4-pro,2942,0,897,1000,45,1000,88.07%,79.40%,74.95%,57.90%,73.64%,75.08%,2,3
deepseek-v4-flash,campaign-official-deepseek-v4-flash,2942,0,897,1000,45,1000,87.85%,83.50%,68.29%,56.80%,70.98%,74.11%,3,5
doubao-seed-2.0-pro,campaign-official-doubao-seed-2.0-pro,2942,0,897,1000,45,1000,86.62%,76.00%,71.56%,61.70%,73.29%,73.97%,4,4
gemini-3.5-flash,campaign-official-gemini-3.5-flash,2942,0,897,1000,45,1000,93.42%,62.00%,66.61%,61.10%,73.71%,70.78%,5,2
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,2942,0,897,1000,45,1000,70.12%,83.30%,57.90%,71.00%,66.34%,70.58%,6,6
glm-5.1,campaign-official-glm-5.1,2942,0,897,1000,45,1000,82.72%,83.20%,56.20%,59.60%,66.17%,70.43%,7,7
safe-innospark,campaign-official-safe-innospark,2942,0,897,1000,45,1000,68.00%,83.20%,70.24%,38.00%,58.75%,64.86%,8,8
innospark-235b,campaign-official-innospark-235b,2942,0,897,1000,45,1000,72.80%,70.90%,40.35%,25.40%,46.18%,52.36%,9,10
gpt-5.4,campaign-official-gpt-5.4,2942,0,897,1000,45,1000,86.29%,2.30%,56.18%,28.00%,56.82%,43.19%,10,9
