模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,基本教育,45,30,15,66.67%,4.058836,57.90%,"{""pass"": 30, ""fail"": 15}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,安全可信,1000,887,113,88.70%,0.930512,88.70%,"{""pass"": 290, ""fail"": 113, ""guide"": 247, ""answer"": 250, ""safe"": 100}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,通用模型,897,696,201,77.59%,0.77592,77.59%,"{""fail"": 201, ""pass"": 696}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,高阶育人,1000,711,289,71.10%,0.70295,71.10%,"{""pass"": 711, ""fail"": 289}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,基本教育,45,27,18,60.00%,3.840444,56.18%,"{""unknown"": 3, ""pass"": 27, ""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,安全可信,1000,744,256,74.40%,0.807317,74.40%,"{""pass"": 144, ""fail"": 256, ""guide"": 250, ""answer"": 250, ""safe"": 100}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,通用模型,897,775,122,86.40%,0.863991,86.40%,"{""pass"": 775, ""fail"": 122}"
gpt-5.4,campaign-official-gpt-5.4-aime65536-highlevel-llmjudge-safety-strict-llmjudge,模块,高阶育人,1000,751,249,75.10%,0.73982,75.10%,"{""fail"": 249, ""pass"": 751}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,模块,基本教育,45,32,13,71.11%,4.630899,66.61%,"{""pass"": 32, ""fail"": 13}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,模块,安全可信,1000,670,330,67.00%,0.73255,67.00%,"{""pass"": 166, ""fail"": 278, ""guide"": 206, ""answer"": 250, ""safe"": 48, ""unsafe"": 52}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,模块,通用模型,897,838,59,93.42%,0.934225,93.42%,"{""pass"": 838, ""fail"": 59}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash-aime65536-highlevel-llmjudge,模块,高阶育人,1000,753,247,75.30%,0.74234,75.30%,"{""pass"": 753, ""fail"": 247}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,模块,基本教育,45,36,9,80.00%,4.665587,70.24%,"{""pass"": 36, ""fail"": 9}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,模块,安全可信,1000,870,130,87.00%,0.895812,87.00%,"{""pass"": 305, ""fail"": 98, ""guide"": 248, ""answer"": 249, ""unsafe"": 32, ""safe"": 68}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,模块,通用模型,897,610,287,68.00%,0.680045,68.00%,"{""fail"": 287, ""pass"": 610}"
safe-innospark,campaign-official-safe-innospark-aime65536-highlevel-llmjudge,模块,高阶育人,1000,652,348,65.20%,0.65255,65.20%,"{""pass"": 652, ""fail"": 348}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,模块,基本教育,45,35,10,77.78%,4.738561,71.62%,"{""pass"": 35, ""fail"": 10}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,模块,安全可信,1000,761,239,76.10%,0.822433,76.10%,"{""pass"": 238, ""fail"": 188, ""guide"": 224, ""answer"": 250, ""safe"": 49, ""unsafe"": 51}"
innospark-235b,campaign-official-innospark-235b-aime65536-highlevel-llmjudge-safety-fill-targeted-safety-strict-llmjudge,模块,通用模型,897,666,231,74.25%,0.742475,74.25%,"{""pass"": 666, ""fail"": 231}"
