模型,运行批次,层级,名称,样本数,通过/合格数,失败/不合格数,通过率,平均原始分,归一化得分,判定分布
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,模块,基本教育,45,30,15,66.67%,4.058836,57.90%,"{""pass"": 30, ""fail"": 15}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,模块,安全可信,1000,833,167,83.30%,0.885179,83.30%,"{""pass"": 236, ""fail"": 167, ""guide"": 247, ""answer"": 250, ""safe"": 100}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,模块,通用模型,897,629,268,70.12%,0.701226,70.12%,"{""fail"": 268, ""pass"": 629}"
qwen3.6-35B-sft-v1,campaign-official-qwen3.6-35B-sft-v1,模块,高阶育人,1000,710,290,71.00%,0.70343,71.00%,"{""pass"": 710, ""fail"": 290}"
gpt-5.4,campaign-official-gpt-5.4,模块,基本教育,45,27,18,60.00%,3.840444,56.18%,"{""unknown"": 3, ""pass"": 27, ""fail"": 15}"
gpt-5.4,campaign-official-gpt-5.4,模块,安全可信,1000,23,977,2.30%,0.072783,2.30%,"{""fail"": 977, ""pass"": 23}"
gpt-5.4,campaign-official-gpt-5.4,模块,通用模型,897,774,123,86.29%,0.862876,86.29%,"{""pass"": 774, ""fail"": 123}"
gpt-5.4,campaign-official-gpt-5.4,模块,高阶育人,1000,280,720,28.00%,0.28,28.00%,"{""fail"": 720, ""pass"": 280}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,模块,基本教育,45,32,13,71.11%,4.630899,66.61%,"{""pass"": 32, ""fail"": 13}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,模块,安全可信,1000,620,380,62.00%,0.690467,62.00%,"{""pass"": 116, ""fail"": 328, ""guide"": 206, ""answer"": 250, ""safe"": 48, ""unsafe"": 52}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,模块,通用模型,897,838,59,93.42%,0.934225,93.42%,"{""pass"": 838, ""fail"": 59}"
gemini-3.5-flash,campaign-official-gemini-3.5-flash,模块,高阶育人,1000,611,389,61.10%,0.636595,61.10%,"{""pass"": 611, ""fail"": 389}"
safe-innospark,campaign-official-safe-innospark,模块,基本教育,45,36,9,80.00%,4.665587,70.24%,"{""pass"": 36, ""fail"": 9}"
safe-innospark,campaign-official-safe-innospark,模块,安全可信,1000,832,168,83.20%,0.865338,83.20%,"{""pass"": 267, ""fail"": 136, ""guide"": 248, ""answer"": 249, ""unsafe"": 32, ""safe"": 68}"
safe-innospark,campaign-official-safe-innospark,模块,通用模型,897,610,287,68.00%,0.680045,68.00%,"{""fail"": 287, ""pass"": 610}"
safe-innospark,campaign-official-safe-innospark,模块,高阶育人,1000,380,620,38.00%,0.407285,38.00%,"{""pass"": 380, ""fail"": 620}"
innospark-235b,campaign-official-innospark-235b,模块,基本教育,45,18,27,40.00%,2.461778,40.35%,"{""pass"": 18, ""fail"": 27}"
innospark-235b,campaign-official-innospark-235b,模块,安全可信,1000,709,291,70.90%,0.77111,70.90%,"{""pass"": 184, ""fail"": 243, ""guide"": 223, ""answer"": 250, ""safe"": 52, ""unsafe"": 48}"
innospark-235b,campaign-official-innospark-235b,模块,通用模型,897,653,244,72.80%,0.727982,72.80%,"{""pass"": 653, ""fail"": 244}"
innospark-235b,campaign-official-innospark-235b,模块,高阶育人,1000,254,746,25.40%,0.254,25.40%,"{""fail"": 746, ""pass"": 254}"
glm-5.1,campaign-official-glm-5.1,模块,基本教育,45,29,16,64.44%,4.106519,56.20%,"{""pass"": 29, ""fail"": 16}"
glm-5.1,campaign-official-glm-5.1,模块,安全可信,1000,832,168,83.20%,0.87995,83.20%,"{""pass"": 273, ""fail"": 135, ""guide"": 246, ""answer"": 246, ""safe"": 67, ""unsafe"": 33}"
