model,module,num_samples,normalized_score
gpt-5.4,Basic Education,45,56.18%
gpt-5.4,Safety and Trustworthiness,1000,74.60%
gpt-5.4,General Capability,897,86.40%
gpt-5.4,High-Level Education,1000,75.10%
gemini-3.5-flash,Basic Education,45,66.61%
gemini-3.5-flash,Safety and Trustworthiness,1000,67.50%
gemini-3.5-flash,General Capability,897,93.42%
gemini-3.5-flash,High-Level Education,1000,75.30%
safe-innospark,Basic Education,45,70.24%
safe-innospark,Safety and Trustworthiness,1000,87.05%
safe-innospark,General Capability,897,68.00%
safe-innospark,High-Level Education,1000,65.20%
innospark-235b,Basic Education,45,71.62%
innospark-235b,Safety and Trustworthiness,1000,76.10%
innospark-235b,General Capability,897,74.25%
innospark-235b,High-Level Education,1000,65.90%
glm-5.1,Basic Education,45,56.20%
glm-5.1,Safety and Trustworthiness,1000,89.10%
glm-5.1,General Capability,897,82.72%
glm-5.1,High-Level Education,1000,59.60%
doubao-seed-2.0-pro,Basic Education,45,71.56%
doubao-seed-2.0-pro,Safety and Trustworthiness,1000,81.15%
doubao-seed-2.0-pro,General Capability,897,86.62%
doubao-seed-2.0-pro,High-Level Education,1000,61.70%
deepseek-v4-flash,Basic Education,45,68.29%
deepseek-v4-flash,Safety and Trustworthiness,1000,89.20%
deepseek-v4-flash,General Capability,897,87.85%
deepseek-v4-flash,High-Level Education,1000,56.80%
deepseek-v4-pro,Basic Education,45,74.95%
deepseek-v4-pro,Safety and Trustworthiness,1000,85.30%
deepseek-v4-pro,General Capability,897,88.07%
deepseek-v4-pro,High-Level Education,1000,57.90%
claude-opus-4-8,Basic Education,45,84.89%
claude-opus-4-8,Safety and Trustworthiness,1000,75.75%
claude-opus-4-8,General Capability,897,91.86%
claude-opus-4-8,High-Level Education,1000,57.00%
