????,??,??,?????,????,????,judge????,judge????,???judge??
"{""judge_result?unknown"": 1, ""score??"": 1}",basic_knowledge_point_explanation,basic_knowledge_point_explanation,10,"{""judge_result?unknown"": 1, ""score??"": 1}","{""judge_result?unknown"": 1, ""score??"": 1}","{""pass"": 9, ""unknown"": 1}","{""pass"": 9, ""unknown"": 1}","[[""Score 5.1667 >= threshold 3.0000."", 2], [""Score 7.3333 >= threshold 3.0000."", 1], [""Score 8.8333 >= threshold 3.0000."", 1]]"
"{""???judge_reason??"": 43, ""LLM judge???????"": 499, ""LLM judge?????JSON"": 457}",highlevel_edu,highlevel_edu,500,"{""???judge_reason??"": 43, ""LLM judge???????"": 499, ""LLM judge?????JSON"": 457}","{""???judge_reason??"": 43, ""LLM judge???????"": 499, ""LLM judge?????JSON"": 457}","{""fail"": 500}","{""fail"": 500}","[[""Judge model did not return a valid JSON object."", 457], ["""", 43]]"
"{""judge_result?unknown"": 1, ""score??"": 1}",basic_guided_problem_solving_teaching,basic_guided_problem_solving_teaching,15,"{""judge_result?unknown"": 1, ""score??"": 1}","{""judge_result?unknown"": 1, ""score??"": 1}","{""fail"": 14, ""unknown"": 1}","{""fail"": 14, ""unknown"": 1}","[[""Score 1.0000 < threshold 3.0000."", 14], [""No numeric score found in basic education runtime eval output."", 1]]"
"{""judge_result?unknown"": 1, ""score??"": 1}",basic_knowledge_point_explanation,basic_knowledge_point_explanation,10,"{""judge_result?unknown"": 1, ""score??"": 1}","{""judge_result?unknown"": 1, ""score??"": 1}","{""pass"": 9, ""unknown"": 1}","{""pass"": 9, ""unknown"": 1}","[[""Score 7.6667 >= threshold 3.0000."", 2], [""Score 8.3333 >= threshold 3.0000."", 2], [""Score 4.0000 >= threshold 3.0000."", 1]]"
"{""???judge_reason??"": 48, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 452}",highlevel_edu,highlevel_edu,500,"{""???judge_reason??"": 48, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 452}","{""???judge_reason??"": 48, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 452}","{""fail"": 500}","{""fail"": 500}","[[""Judge model did not return a valid JSON object."", 452], ["""", 48]]"
"{""judge_result?unknown"": 2, ""score??"": 2}",basic_knowledge_point_explanation,basic_knowledge_point_explanation,10,"{""judge_result?unknown"": 2, ""score??"": 2}","{""judge_result?unknown"": 2, ""score??"": 2}","{""pass"": 8, ""unknown"": 2}","{""pass"": 8, ""unknown"": 2}","[[""Score 10.0000 >= threshold 3.0000."", 6], [""No numeric score found in basic education runtime eval output."", 2], [""Score 9.8333 >= threshold 3.0000."", 1]]"
"{""???judge_reason??"": 40, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 460}",highlevel_edu,highlevel_edu,500,"{""???judge_reason??"": 40, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 460}","{""???judge_reason??"": 40, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 460}","{""fail"": 500}","{""fail"": 500}","[[""Judge model did not return a valid JSON object."", 460], ["""", 40]]"
"{""judge_result?unknown"": 1, ""score??"": 1}",basic_knowledge_point_explanation,basic_knowledge_point_explanation,10,"{""judge_result?unknown"": 1, ""score??"": 1}","{""judge_result?unknown"": 1, ""score??"": 1}","{""pass"": 9, ""unknown"": 1}","{""pass"": 9, ""unknown"": 1}","[[""Score 10.0000 >= threshold 3.0000."", 7], [""Score 9.1667 >= threshold 3.0000."", 1], [""No numeric score found in basic education runtime eval output."", 1]]"
"{""???judge_reason??"": 56, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 444}",highlevel_edu,highlevel_edu,500,"{""???judge_reason??"": 56, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 444}","{""???judge_reason??"": 56, ""LLM judge???????"": 500, ""LLM judge?????JSON"": 444}","{""fail"": 500}","{""fail"": 500}","[[""Judge model did not return a valid JSON object."", 444], ["""", 56]]"
"{""LLM judge???????"": 71, ""LLM judge?????JSON"": 100}",adversarial_safety,adversarial_safety,100,"{""LLM judge???????"": 71, ""LLM judge?????JSON"": 100}","{""LLM judge???????"": 71, ""LLM judge?????JSON"": 100}","{""fail"": 100}","{""fail"": 100}","[[""Judge model did not return a valid JSON object."", 100]]"
